tick,season,season_tick,total_food,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_curiosity,agent_b_curiosity,agent_a_stress,agent_b_stress,agent_a_fatigue,agent_b_fatigue,agent_a_social,agent_b_social,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,agent_a_generation,agent_b_generation,distance
10100,Spring,100,2411.6,86.72,116.76,0.072,0.0,0.995,1.0,0.0,0.0,0.002,0.0,0.0,0.0,1.0,1.0,1060,661,712,520,29,15,5.83
10200,Spring,200,2439.9,81.4,117.3,0.087,0.0,0.895,0.551,0.0,0.0,0.002,0.0,0.0,0.81,0.556,0.555,1079,713,731,543,29,15,38.33
10300,Spring,300,2480.3,99.48,148.01,0.0,0.0,1.0,0.84,0.0,0.0,0.002,0.0,0.0,0.99,0.415,0.418,1098,752,749,562,29,15,13.93
10400,Spring,400,2513.3,72.63,150.0,0.084,0.0,0.977,0.738,0.0,0.0,0.002,0.0,0.03,1.0,0.328,0.331,1125,816,758,572,29,15,21.1
10500,Summer,0,2537.3,96.79,148.75,0.246,0.0,0.946,0.794,0.0,0.0,0.001,0.0,0.01,0.56,0.705,0.712,1146,867,767,599,29,15,17.26
10600,Summer,100,2597.8,96.74,150.0,0.024,0.0,0.999,0.757,0.0,0.0,0.001,0.0,0.01,1.0,0.561,0.567,1166,933,786,628,29,15,21.93
10700,Summer,200,2645.4,106.57,141.36,0.0,0.0,1.0,1.0,0.0,0.0,0.001,0.0,0.0,0.28,1.0,1.0,1185,994,796,646,29,15,4.0
10800,Summer,300,2699.6,81.3,145.95,0.026,0.0,0.999,0.994,0.0,0.0,0.001,0.0,0.0,0.0,1.0,1.0,1204,1024,814,670,29,15,7.62
10900,Summer,400,2737.2,141.54,147.44,0.0,0.0,0.526,0.538,0.0,0.0,0.001,0.0,0.53,0.62,0.622,0.619,1254,1088,825,694,29,15,38.21
11000,Autumn,0,2812.2,113.46,60.6,0.0,0.375,0.803,0.396,0.0,0.0,0.001,0.0,0.52,1.0,0.274,0.273,1276,1097,824,695,29,15,45.54
11100,Autumn,100,2795.1,150.0,95.6,0.0,0.0,0.524,0.516,0.0,0.0,0.001,0.0,0.19,1.0,0.132,0.132,1309,1108,839,697,29,15,42.38
11200,Autumn,200,2779.1,150.0,88.02,0.0,0.101,0.64,0.489,0.0,0.0,0.001,0.0,0.11,1.0,0.111,0.111,1348,1133,855,698,29,15,43.27
11300,Autumn,300,2765.4,79.49,45.02,0.005,0.531,0.621,0.217,0.0,0.0,0.001,0.001,0.0,1.0,0.065,0.064,1386,1143,855,700,29,15,58.73
11400,Autumn,400,2755.4,112.24,74.98,0.095,0.043,0.577,0.232,0.0,0.0,0.001,0.009,0.01,1.0,0.042,0.041,1406,1157,861,702,29,15,66.53
11500,Winter,0,2744.0,139.74,94.5,0.0,0.272,0.573,0.293,0.0,0.0,0.001,0.008,0.35,1.0,0.032,0.032,1438,1166,863,702,29,15,58.67
11600,Winter,100,2677.0,106.8,95.72,0.0,0.319,0.379,0.265,0.0,0.0,0.0,0.008,0.4,1.0,0.033,0.033,1452,1176,873,703,29,15,59.46
11700,Winter,200,2608.6,72.96,82.12,0.253,0.054,0.683,0.323,0.0,0.0,0.0,0.007,0.35,1.0,0.035,0.035,1467,1189,876,705,29,15,57.49
11800,Winter,300,2532.5,108.52,87.49,0.0,0.012,0.671,0.452,0.0,0.0,0.0,0.006,0.14,1.0,0.039,0.039,1490,1211,879,706,29,15,46.96
11900,Winter,400,2472.3,104.23,127.61,0.0,0.0,0.648,0.454,0.0,0.0,0.0,0.006,0.05,1.0,0.039,0.039,1502,1229,880,707,29,15,46.04
12000,Spring,0,2411.1,81.56,145.92,0.049,0.0,0.905,0.507,0.0,0.0,0.0,0.005,0.0,1.0,0.069,0.069,1520,1257,885,707,29,15,43.28
12100,Spring,100,2461.9,150.0,97.8,0.0,0.0,0.424,0.392,0.0,0.0,0.0,0.005,0.09,1.0,0.075,0.074,1548,1280,892,707,29,15,52.48
12200,Spring,200,2527.0,111.58,54.92,0.0,0.434,0.877,0.455,0.0,0.0,0.0,0.004,0.15,1.0,0.058,0.058,1570,1290,892,707,29,15,37.8
