tick,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,distance
10000,48.0,25.5,0.055,0.27,0.381,0.398,1260,1237,296,299,49.68
10100,32.0,45.5,0.195,0.08,0.241,0.257,1275,1255,298,300,62.65
10200,30.0,45.5,0.295,0.24,0.32,0.336,1286,1275,300,302,56.86
10300,22.0,93.5,0.425,0.0,0.275,0.283,1305,1284,301,302,60.88
10400,42.0,19.5,0.095,0.43,0.206,0.197,1319,1296,304,305,68.25
10500,36.0,52.5,0.185,0.0,0.157,0.174,1331,1312,304,306,70.04
10600,4.0,4.5,0.545,0.51,0.368,0.371,1344,1331,305,307,54.82
10700,17.0,26.5,0.355,0.31,0.368,0.366,1360,1351,306,308,54.08
10800,36.0,36.5,0.135,0.2,0.3,0.3,1369,1371,307,311,60.11
10900,34.0,47.0,0.155,0.075,0.303,0.307,1388,1380,310,312,59.36
11000,43.0,55.5,0.255,0.0,0.1,0.1,1401,1397,310,313,74.97
11100,45.5,30.0,0.07,0.595,0.275,0.291,1416,1405,311,313,58.73
11200,35.5,30.0,0.16,0.485,0.349,0.348,1436,1422,310,317,55.23
11300,45.5,42.0,0.1,0.125,0.232,0.233,1450,1433,310,318,65.86
11400,24.5,16.0,0.26,0.385,0.358,0.349,1469,1446,313,319,55.32
11500,29.0,80.5,0.315,0.18,0.142,0.133,1476,1458,313,320,74.97
11600,39.0,82.5,0.245,0.0,0.124,0.115,1488,1468,313,320,73.66
11700,83.0,12.5,0.0,0.43,0.235,0.229,1505,1483,314,320,65.22
11800,85.0,84.5,0.0,0.0,0.303,0.298,1516,1505,314,324,60.03
11900,45.0,38.5,0.075,0.13,0.44,0.424,1528,1515,315,326,47.54
12000,27.0,92.5,0.305,0.0,0.378,0.362,1540,1529,317,331,52.8
12100,35.0,18.5,0.155,0.44,0.346,0.341,1556,1534,324,331,56.8
12200,59.5,46.5,0.03,0.11,0.375,0.385,1570,1550,325,334,51.31
12300,91.5,54.5,0.0,0.0,0.105,0.122,1580,1562,325,334,73.88
12400,64.5,92.5,0.22,0.06,0.083,0.091,1588,1577,325,335,75.74
12500,79.5,24.5,0.0,0.25,0.398,0.396,1599,1596,324,335,51.09
12600,105.5,48.5,0.0,0.05,0.389,0.392,1622,1620,328,336,50.8
12700,37.5,47.0,0.22,0.155,0.342,0.359,1633,1631,328,336,53.01
12800,21.5,31.0,0.28,0.415,0.269,0.279,1645,1639,328,336,62.63
12900,37.5,94.0,0.27,0.045,0.299,0.3,1660,1656,331,336,58.0
13000,69.5,92.0,0.26,0.0,0.117,0.125,1669,1671,331,336,73.54
13100,25.5,26.0,0.29,0.275,0.238,0.222,1694,1682,331,334,67.42
13200,37.5,40.0,0.17,0.105,0.389,0.405,1704,1694,331,333,51.22
13300,13.5,26.0,0.42,0.245,0.358,0.357,1720,1709,333,336,54.49
13400,1.5,22.0,0.53,0.355,0.312,0.309,1728,1728,332,338,58.82
13500,5.5,4.0,0.5,0.535,0.357,0.34,1738,1742,332,339,54.56
13600,16.5,64.0,0.48,0.0,0.392,0.375,1753,1756,331,346,53.25
13700,38.5,4.0,0.12,0.575,0.205,0.212,1766,1773,331,346,66.57
13800,56.5,30.0,0.14,0.375,0.25,0.258,1778,1788,331,347,61.52
13900,97.0,22.0,0.015,0.375,0.14,0.147,1792,1802,332,347,70.94
14000,47.0,8.0,0.025,0.475,0.225,0.209,1808,1822,334,347,67.42
14100,31.0,22.0,0.435,0.315,0.372,0.371,1817,1850,336,350,53.6
14200,33.0,100.0,0.315,0.0,0.223,0.0,1829,1867,336,350,72.14
14300,26.0,85.0,0.345,0.135,0.191,0.175,1839,1873,336,350,68.62
14400,26.0,7.0,0.295,0.525,0.283,0.29,1849,1884,335,350,61.62
14500,87.0,96.0,0.0,0.045,0.075,0.083,1870,1893,335,350,77.9
14600,11.0,82.5,0.425,0.02,0.258,0.275,1883,1899,336,350,62.97
14700,39.5,93.0,0.1,0.0,0.12,0.122,1895,1910,338,349,73.11
14800,33.5,1.0,0.17,0.485,0.283,0.299,1907,1918,338,349,58.05
14900,23.5,25.5,0.29,0.25,0.184,0.175,1914,1933,337,349,71.4
15000,29.5,29.5,0.31,0.44,0.268,0.264,1931,1947,339,351,63.29
15100,41.5,27.5,0.19,0.38,0.297,0.28,1948,1956,341,351,60.75
15200,43.5,75.5,0.06,0.0,0.392,0.382,1959,1975,342,358,51.04
15300,51.5,43.5,0.11,0.22,0.523,0.539,1975,1989,345,360,40.5
15400,43.5,19.5,0.11,0.32,0.474,0.49,1986,2000,345,361,41.88
15500,27.5,46.5,0.28,0.05,0.34,0.356,2004,2011,346,360,54.41
15600,53.5,34.5,0.12,0.22,0.351,0.357,2017,2028,350,362,55.95
15700,25.5,40.5,0.25,0.09,0.313,0.317,2035,2040,353,361,57.69
15800,17.5,26.5,0.39,0.31,0.253,0.245,2046,2058,353,363,65.44
15900,50.0,89.5,0.0,0.0,0.291,0.292,2064,2070,353,364,58.69
16000,10.0,7.5,0.435,0.42,0.192,0.208,2077,2082,354,365,65.76
16100,16.0,2.5,0.435,0.53,0.316,0.333,2091,2090,354,367,56.59
16200,66.5,34.5,0.0,0.17,0.262,0.253,2103,2110,356,369,64.82
16300,18.5,32.5,0.39,0.2,0.401,0.404,2116,2128,358,369,50.8
16400,28.5,6.5,0.29,0.56,0.408,0.392,2136,2145,358,371,50.22
16500,40.5,90.5,0.12,0.0,0.123,0.131,2147,2157,359,371,74.52
16600,14.5,67.5,0.39,0.19,0.249,0.248,2171,2166,361,371,62.37
16700,23.0,73.5,0.285,0.0,0.317,0.316,2184,2189,362,371,56.59
16800,21.0,81.5,0.475,0.0,0.341,0.325,2195,2209,362,371,58.73
16900,73.0,39.5,0.0,0.1,0.407,0.405,2216,2219,365,372,51.86
17000,25.0,29.5,0.295,0.21,0.392,0.389,2227,2234,365,372,52.43
17100,97.5,58.0,0.0,0.0,0.115,0.107,2239,2248,364,372,75.69
17200,35.5,59.0,0.22,0.065,0.297,0.294,2256,2254,364,372,60.75
17300,39.5,93.5,0.1,0.0,0.308,0.291,2275,2265,365,373,59.46
17400,46.0,19.5,0.065,0.31,0.3,0.316,2293,2286,366,374,58.69
17500,42.5,17.5,0.19,0.46,0.3,0.292,2302,2303,366,375,60.14
17600,44.5,90.0,0.1,0.0,0.183,0.183,2313,2317,366,375,67.88
17700,37.0,84.0,0.125,0.0,0.241,0.258,2322,2326,366,375,64.38
17800,21.0,20.0,0.345,0.535,0.383,0.382,2341,2340,368,376,53.15
17900,29.0,34.0,0.235,0.255,0.388,0.404,2358,2359,371,375,49.24
18000,47.0,92.0,0.035,0.0,0.356,0.34,2374,2372,372,376,55.8
18100,24.0,20.0,0.325,0.365,0.28,0.264,2384,2383,372,377,62.77
18200,62.0,34.0,0.0,0.175,0.387,0.376,2402,2393,373,377,54.23
18300,16.0,72.5,0.345,0.11,0.212,0.222,2411,2404,373,378,65.51
18400,14.0,51.0,0.385,0.115,0.265,0.274,2427,2414,375,378,61.55
18500,18.0,29.0,0.325,0.225,0.316,0.325,2439,2434,375,380,57.28
18600,40.0,39.0,0.115,0.125,0.316,0.317,2453,2458,376,381,56.57
18700,36.0,49.0,0.215,0.225,0.308,0.308,2461,2479,377,381,60.11
18800,67.0,31.0,0.115,0.205,0.242,0.233,2472,2495,377,382,66.47
18900,41.0,39.0,0.275,0.225,0.434,0.431,2498,2511,377,382,48.55
19000,21.0,21.0,0.345,0.285,0.298,0.294,2518,2530,379,383,58.59
